transaccion_id,fecha_transaccion,tipo_transaccion,estado,monto_total,metodo_pago,cliente_nombre,cliente_telefono,producto_nombre,producto_talla,producto_color,producto_temporada,cantidad_comprada,fecha_entrega,fecha_devolucion,multa_aplicada,reseña_rating
687e0e6d2d8655b05b08c3a5,2025-03-04 03:17:32,renta,Completada,1489,tarjeta_debito,20221136@uthh.edu.mx,7711403469,Vestido de Tirantes con Estampado de Lunares,S,Negro/Blanco,Verano,1,2025-03-05 01:17:32,2025-03-12 01:17:32,71,5
687e0e6d2d8655b05b08c3a6,2024-10-28 12:25:01,Venta,Completada,3800,tarjeta_credito,alejandra.paredes@example.com,1234567827,Vestido Largo de Seda Morado Obscuro,M,Morado Oscuro,Todo el Año,1,2024-10-28 22:25:01,,0,5
687e0e6d2d8655b05b08c3a7,2025-10-15 05:56:35,renta,Completada,300,transferencia_bancaria,gabriela.silva@example.com,1234567821,Vestido Corto Rojo con Cola Asimétrica,M,Rojo,Todo el Año,1,2025-10-15 10:56:35,2025-10-28 10:56:35,0,2
687e0e6d2d8655b05b08c3a8,2026-12-12 08:19:51,renta,Completada,1245,tarjeta_debito,20221136@uthh.edu.mx,7711403469,Vestido Camisero de Rayón Estampado,M,Multicolor Abstracto,Verano,1,2026-12-12 20:19:51,2026-12-28 20:19:51,48,5
687e0e6d2d8655b05b08c3a9,2025-05-27 10:13:41,renta,Completada,686,tarjeta_debito,ech19413070170002@gmail.com,7718858193,Sueño Violeta,S,Morado,Todo el Año,1,2025-05-28 06:13:41,2025-06-04 06:13:41,0,5
687e0e6d2d8655b05b08c3aa,2023-06-17 04:05:39,Venta,Completada,500,transferencia_bancaria,adriana.romero@example.com,1234567817,Brillante Rose,S,Rosa Crema,Todo el Año,1,2023-06-17 13:05:39,,0,5
687e0e6d2d8655b05b08c3ab,2026-03-16 08:18:58,renta,Completada,1700,tarjeta_debito,ech19413070170002@gmail.com,7718858193,Vestido de Noche con Cuello Halter y Abertura,M,Azul Cobalto,Todo el Año,1,2026-03-16 20:18:58,2026-04-01 20:18:58,0,2
687e0e6d2d8655b05b08c3ac,2025-12-09 10:46:14,Venta,Completada,2863,transferencia_bancaria,sheldon@gmail.com,5551234567,Vestido de Noche con Cola de Sirena y Bordados,M,Azul Marino,Todo el Año,1,2025-12-09 23:46:14,,0,5
687e0e6d2d8655b05b08c3ad,2024-09-10 07:25:30,renta,Completada,5000,tarjeta_debito,patricia.guzman@example.com,1234567819,Vestido de Novia Clásico,S,Blanco,Todo el Año,1,2024-09-11 05:25:30,2024-09-24 05:25:30,0,4
687e0e6d2d8655b05b08c3ae,2026-05-19 03:53:03,Venta,Completada,880,tarjeta_credito,ia.perez@example.com,1234567897,Vestido Casual de Algodón con Bolsillos,L,Gris Claro,"Primavera, Verano, Otoño",1,2026-05-19 10:53:03,,0,2
687e0e6d2d8655b05b08c3af,2023-06-14 03:45:56,Venta,Completada,1321,tarjeta_debito,ana.lopez@example.com,1234567891,Vestido Corto Rojo con Cola Asimétrica,M,Rojo,Todo el Año,1,2023-06-14 13:45:56,,0,3
687e0e6d2d8655b05b08c3b0,2023-09-19 04:34:31,Venta,Completada,2300,tarjeta_debito,maria.gonzalez@example.com,1234567893,Fantasía Turquesa,M,Turquesa,"Verano, Primavera",1,2023-09-19 22:34:31,,0,1
687e0e6d2d8655b05b08c3b1,2026-07-05 04:39:09,renta,Completada,1384,efectivo,carmen.morales@example.com,1234567813,Sueño Violeta,S,Morado,Todo el Año,1,2026-07-05 14:39:09,2026-07-15 14:39:09,0,4
687e0e6d2d8655b05b08c3b2,2025-04-12 03:22:10,renta,Completada,1332,tarjeta_credito,valentina.rodriguez@email.com,5587654321,Vestido Midi de Lino con Botones,M,Beige,Verano,1,2025-04-12 22:22:10,2025-04-29 22:22:10,0,5
687e0e6d2d8655b05b08c3b3,2025-08-24 10:46:09,renta,Completada,859,efectivo,daniela.mendoza@example.com,1234567822,Vestido Skater de Rayas Horizontales,S,Blanco/Negro,Todo el Año,1,2025-08-25 05:46:09,2025-09-05 05:46:09,0,3
687e0e6d2d8655b05b08c3b4,2026-12-08 08:30:16,renta,Completada,934,tarjeta_debito,maria.gonzalez@example.com,1234567893,Vestido Skater de Rayas Horizontales,S,Blanco/Negro,Todo el Año,1,2026-12-08 21:30:16,2026-12-17 21:30:16,0,4
687e0e6d2d8655b05b08c3b5,2026-04-07 03:06:34,Venta,Completada,3200,tarjeta_credito,ximena.hernandez@email.com,5523456789,Vestido Largo Negro con Encaje y Tirantes Gruesos,M,Negro,Todo el Año,1,2026-04-07 20:06:34,,0,5
687e0e6d2d8655b05b08c3b6,2023-06-13 03:29:14,renta,Completada,1318,efectivo,sheldon@gmail.com,5551234567,Vestido de Punto Grueso con Cuello Cisne,M,Gris Carbón,Invierno,1,2023-06-13 23:29:14,2023-06-28 23:29:14,0,5
687e0e6d2d8655b05b08c3b7,2024-06-22 05:28:14,Venta,Completada,1400,efectivo,isabel.vargas@example.com,1234567815,Vestido de Noche Strona Rosa sin Mangas,L,rosaPastel,"Primavera, Verano, Todo el Año",1,2024-06-22 21:28:14,,0,5
687e0e6d2d8655b05b08c3b8,2025-06-04 04:06:03,renta,Completada,1750,transferencia_bancaria,20221129@uthh.edu.mx,7714057323,Vestido de Noche con Falda Plisada,M,Azul Acero,Todo el Año,1,2025-06-04 07:06:03,2025-06-12 07:06:03,51,5
687e0e6d2d8655b05b08c3b9,2025-07-16 08:17:04,renta,Completada,1394,tarjeta_credito,isabel.vargas@example.com,1234567815,Vestido Largo Azul Rey Satinado,M,Azul Rey,Todo el Año,1,2025-07-16 18:17:04,2025-08-01 18:17:04,0,4
687e0e6d2d8655b05b08c3ba,2023-06-10 06:33:29,renta,Completada,800,efectivo,maria.gonzalez@example.com,1234567893,Vestido de Fiesta con Escote Asimétrico,M,Verde Esmeralda,Todo el Año,1,2023-06-10 14:33:29,2023-06-21 14:33:29,0,5
687e0e6d2d8655b05b08c3bb,2026-12-17 06:58:58,renta,Completada,1365,tarjeta_credito,valeria.rojas@example.com,1234567823,Vestido de Punto Grueso con Rayas,M,Multicolor,Invierno,1,2026-12-17 07:58:58,2026-12-28 07:58:58,0,4
